Project,Facebook ads library,Funnel/Page
Digital products,,
,,
Liven app,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=%22wellbeing-theliven.com%22&search_type=keyword_exact_phrase&sort_data[direction]=desc&sort_data[mode]=total_impressions,https://wellbeing-theliven.com/en/3508_0iu33/?visitor_id=41fb8649-38eb-4f6f-b0e2-1283735ec28b
Headway App,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&content_languages[0]=en&country=ALL&is_targeted_country=false&media_type=all&q=%22makeheadway.com%22&search_type=keyword_exact_phrase&sort_data[direction]=desc&sort_data[mode]=total_impressions,https://makeheadway.com/onboarding/self-growth/landing?utm_source=facebook&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_placement=%7B%7Bplacement%7D%7D&utm_adname=%7B%7Bad.name%7D%7D&utm_adset=%7B%7Badset.name%7D%7D&utm_ad_id=%7B%7Bad.id%7D%7D&utm_adset_id=%7B%7Badset.id%7D%7D&utm_campaign_id=%7B%7Bcampaign.id%7D%7D
TodayIsTheDay,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=105925199031817&search_type=page&media_type=all,https://todayistheday.app/procrastination/moon1?utm_source=Google-search&utm_medium=RegularLanding&&utm_campaign=20706634721&utm_content=152796451177&utm_term=todayistheday%20app&gad_source=1
RISE SCIENCE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=1023599077769643,https://onboarding.risescience.com/start?utm_source=FB_w2w&campaign_id=%7B%7Bcampaign.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&no_adset=%7B%7Badset.name%7D%7D&original_url_ad=%7B%7Bad.name%7D%7D
BetterMe: Mental Health,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&view_all_page_id=119863333184039&search_type=page&media_type=all			,https://betterme-mental-health.com/en/first-page-generated?flow=1916&utm_source=facebook&utm_medium=cpm&utm_campaign=AG_Childhood_Flow1916_4_Nov_Set2_Video_Top4_Wide_All_MBC_Auto_3325028341115929%2F260&utm_content=24_2024-10-31_Kate_AGTEST0_H-SingleChoce_S-ChildReparent_V-Videoillustrated_C-paintedTom_CT-15920_Ver-2_story_fb.mp4&fbclid=IwY2xjawGVyBtleHRuA2FlbQIxMAABHWmZTV6JKQy8NiYBzyszXR6mmCyn890ZJcWV8rO86W3ORnjivdb-xpk_aA_aem_wsK43FRrg3N9nzVbgZgJWw
BetterMe Men,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=109468687259803,https://betterme-calisthenics.com/first-page-brand-palette?flow=1500&utm_source=facebook&utm_medium=cpm&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D&utm_campaign_id=120239281161080072&utm_content_id=%7B%7Bad.id%7D%7D
BetterMe: Wall Pilates,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&content_languages[0]=en&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=116143894813499,https://betterme-wallpilates.com/first-page-brand-palette?flow=1416&utm_source=facebook&utm_medium=cpm&utm_campaign=AG_WallYoungIncr_Flow1416_28_Feb_Set5_Video_Hook_Top4_Wide_F_MBC_Auto_5284263425036413%2F520&utm_content=26_2026-02-25_viktoriia_AGTEST6_H-IfYou_S-StartingDateSong_V-Ai_C-Maria_K-Hook_D-OnMon-2Mar_CR-16446_Ver-1_story_fb.mp4&utm_campaign_id=120247855637510197&utm_content_id=%7B%7Bad.id%7D%7D
BetterMe: Treadmill,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=betterme-treadmill.com&search_type=keyword_unordered&sort_data[direction]=desc&sort_data[mode]=total_impressions,https://betterme-treadmill.com/first-page-brand-palette?flow=2225&utm_source=facebook&utm_medium=cpm&utm_campaign=AG_Treadmill_Flow2225_5_Oct_Set5_Video_GymSong_Top27_LAL_F_BC_Auto_280843458190424%2F240&utm_content=15_2025-10-01_Marharyta_AGTEST4_H-WomenReadyTo_S-WomenReadyTo_V-ExerciseVideo_C-Olesya_K-GymSong_D-None_CT-34175_Ver-4_story_fb.mp4
Meal Plan by Better Me,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&search_type=page&sort_data[mode]=total_impressions&sort_data[direction]=desc&view_all_page_id=111039638500829,https://betterme-meal-plan.com/first-page-brand-palette?flow=2578&utm_source=facebook&utm_medium=cpm&utm_campaign=AG_MealPlan-HighProtein_Flow2578_7_Feb_Set1_Image_ProteinOats_WW_Wide_F_RoAS_Auto_438861398391579%2F470&utm_content=27_2026-02-04_Nastya_AGTEST14_H-Look4Woman_K-ProteinOats_D-None_CR-14303_Ver-5_story_fb.jpg&utm_campaign_id=120238737979390417&utm_content_id=%7B%7Bad.id%7D%7D
Lasta Fit,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=lasta-fit.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc,https://lasta-fit.com/en/2303?gender=male&utm_source=facebook&utm_medium=cpm&utm_campaign=%7B%7Bcampaign.name%7D%7D&utm_content=%7B%7Bad.name%7D%7D&utm_term=%7B%7Badset.name%7D%7D&adset_id=%7B%7Badset.id%7D%7D&ad_id=%7B%7Bad.id%7D%7D&placement=%7B%7Bplacement%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D
